Test,Output,Min,Max,Mean,Median,Std Dev,Spec,Pass/Fail
hyuntest_lkg_tb_1_spectre,slvtpfet_vth,-310.6e-3,-183.9e-3,-247.7e-3,-248.3e-3,19.31e-3,,
hyuntest_lkg_tb_1_spectre,vlvtpfet_ids,-14.05e-12,-502e-15,-2.613e-12,-2.269e-12,1.491e-12,,
hyuntest_lkg_tb_1_spectre,vlvtpfet_igtot,8.148e-12,8.148e-12,8.148e-12,8.148e-12,nan,,
hyuntest_lkg_tb_1_spectre,vlvtpfet_igidl,-231.9e-18,-231.9e-18,-231.9e-18,-231.9e-18,0,,
hyuntest_lkg_tb_1_spectre,vlvtpfet_vth,-312.4e-3,-189.9e-3,-255.7e-3,-255.5e-3,19.4e-3,,
hyuntest_lkg_tb_1_spectre,nswpfetpu_ids,-26.44e-15,-368.8e-18,-4.415e-15,-3.227e-15,3.67e-15,,
hyuntest_lkg_tb_1_spectre,nswpfetpu_igtot,2.836e-12,2.836e-12,2.836e-12,2.836e-12,nan,,
hyuntest_lkg_tb_1_spectre,nswpfetpu_igidl,-112.5e-15,-112.5e-15,-112.5e-15,-112.5e-15,0,,
hyuntest_lkg_tb_1_spectre,nswpfetpu_vth,-336e-3,-185.4e-3,-257.7e-3,-258.5e-3,27.07e-3,,

