"for ids, igidl",Output,Min,Max,Mean,Median,Std Dev,,"for ids, igidl",Output,Mean,Std Dev,for igtot,Output,Mean,Std Dev
,hvtpfet_igidl,-1.09E-14,-1.09E-14,-1.09E-14,-1.09E-14,5.15E-20,,,,,,,hvtpfet_igidl,-5.34E-101,0
,hvtpfet_vth,-4.61E-01,-3.33E-01,-3.92E-01,-3.92E-01,1.98E-02,,,,,,,hvtpfet_vth,-3.91E-01,1.99E-02
,rvtpfet_ids,-9.76E-09,-4.49E-10,-2.25E-09,-2.00E-09,1.18E-09,,,,,,,rvtpfet_ids,-8.68E-05,6.21E-06
,rvtpfet_igtot,7.39E-13,7.39E-13,7.39E-13,7.39E-13,1.36E-18,,,,,,,rvtpfet_igtot,-6.56E-12,3.46E-14
,rvtpfet_igidl,-7.67E-15,-7.67E-15,-7.67E-15,-7.67E-15,1.13E-19,,,,,,,rvtpfet_igidl,-3.71E-101,0
,rvtpfet_vth,-4.07E-01,-2.87E-01,-3.49E-01,-3.49E-01,1.90E-02,,,,,,,rvtpfet_vth,-3.49E-01,1.90E-02
,lvtpfet_ids,-6.30E-08,-1.82E-09,-1.37E-08,-1.20E-08,7.57E-09,,,,,,,lvtpfet_ids,-1.05E-04,8.07E-06
,lvtpfet_igtot,9.00E-13,9.00E-13,9.00E-13,9.00E-13,1.17E-17,,,,,,,lvtpfet_igtot,-7.70E-12,2.60E-14
,lvtpfet_igidl,-2.96E-15,-2.96E-15,-2.96E-15,-2.96E-15,2.97E-19,,,,,,,lvtpfet_igidl,-2.82E-101,0
,lvtpfet_vth,-3.64E-01,-2.35E-01,-3.01E-01,-3.01E-01,1.91E-02,,,,,,,lvtpfet_vth,-3.01E-01,1.90E-02
,mvtpfet_ids,-3.21E-08,-1.22E-09,-7.20E-09,-6.35E-09,3.93E-09,,,,,,,mvtpfet_ids,-9.49E-05,6.73E-06
,mvtpfet_igtot,8.97E-13,8.97E-13,8.97E-13,8.97E-13,5.67E-18,,,,,,,mvtpfet_igtot,-7.97E-12,4.76E-14
,mvtpfet_igidl,-4.74E-15,-4.73E-15,-4.74E-15,-4.74E-15,2.43E-19,,,,,,,mvtpfet_igidl,-3.33E-101,0
,mvtpfet_vth,-3.49E-01,-2.28E-01,-2.85E-01,-2.85E-01,1.93E-02,,,,,,,mvtpfet_vth,-2.85E-01,1.93E-02
,slvtpfet_ids,-2.93E-07,-1.07E-08,-6.08E-08,-5.21E-08,3.43E-08,,,,,,,slvtpfet_ids,-1.10E-04,8.23E-06
,slvtpfet_igtot,9.01E-13,9.01E-13,9.01E-13,9.01E-13,5.33E-17,,,,,,,slvtpfet_igtot,-7.73E-12,3.01E-14
,slvtpfet_igidl,-1.50E-16,-1.49E-16,-1.50E-16,-1.50E-16,1.01E-19,,,,,,,slvtpfet_igidl,-8.92E-102,0
,slvtpfet_vth,-3.11E-01,-1.84E-01,-2.48E-01,-2.48E-01,1.93E-02,,,,,,,slvtpfet_vth,-2.48E-01,1.93E-02
,vlvtpfet_ids,-1.56E-07,-5.79E-09,-2.96E-08,-2.57E-08,1.67E-08,,,,,,,vlvtpfet_ids,-1.08E-04,8.07E-06
,vlvtpfet_igtot,9.01E-13,9.01E-13,9.01E-13,9.01E-13,2.58E-17,,,,,,,vlvtpfet_igtot,-7.83E-12,3.37E-14
,vlvtpfet_igidl,-2.32E-16,-2.31E-16,-2.32E-16,-2.32E-16,7.42E-20,,,,,,,vlvtpfet_igidl,-9.96E-102,0
,vlvtpfet_vth,-3.12E-01,-1.90E-01,-2.56E-01,-2.56E-01,1.94E-02,,,,,,,vlvtpfet_vth,-2.56E-01,1.94E-02
,nswpfetpu_ids,-1.55E-09,-2.21E-11,-2.64E-10,-1.94E-10,2.19E-10,,,,,,,nswpfetpu_ids,-3.09E-05,1.96E-06
,nswpfetpu_igtot,5.61E-13,5.61E-13,5.61E-13,5.61E-13,2.01E-17,,,,,,,nswpfetpu_igtot,-5.73E-12,3.47E-13
,nswpfetpu_igidl,-1.13E-13,-1.13E-13,-1.13E-13,-1.13E-13,4.41E-19,,,,,,,nswpfetpu_igidl,-1.28E-101,0
,nswpfetpu_vth,-3.36E-01,-1.85E-01,-2.58E-01,-2.59E-01,2.71E-02,,,,,,,nswpfetpu_vth,-2.58E-01,2.71E-02
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
